,area_type,availability,location,size,total_sqft,bath,price,bhk,price_per_sqft
0,Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,2850.0,4.0,428.0,4,15017.543859649122
1,Super built-up  Area,18-Jun,1st Block Jayanagar,3 BHK,1630.0,3.0,194.0,3,11901.840490797545
2,Super built-up  Area,Ready To Move,1st Block Jayanagar,3 BHK,1875.0,2.0,235.0,3,12533.333333333334
3,Plot  Area,Ready To Move,1st Block Jayanagar,4 Bedroom,2400.0,4.0,450.0,4,18750.0
4,Super built-up  Area,Ready To Move,1st Block Jayanagar,2 BHK,1000.0,3.0,60.0,2,6000.0
5,Built-up  Area,15-Dec,1st Block Jayanagar,3 BHK,1200.0,2.0,130.0,3,10833.333333333334
6,Super built-up  Area,18-Jun,1st Block Jayanagar,2 BHK,1235.0,2.0,148.0,2,11983.805668016194
7,Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,2750.0,4.0,413.0,4,15018.181818181818
8,Super built-up  Area,Ready To Move,1st Block Jayanagar,3 BHK,1760.0,3.0,115.0,3,6534.090909090909
9,Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,2450.0,4.0,368.0,4,15020.408163265307
11,Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,1875.0,3.0,167.0,3,8906.666666666666
12,Built-up  Area,Ready To Move,1st Phase JP Nagar,5 Bedroom,1500.0,5.0,85.0,5,5666.666666666667
13,Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,2065.0,4.0,210.0,3,10169.49152542373
15,Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,2059.0,3.0,225.0,3,10927.634774162214
16,Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,1394.0,2.0,100.0,2,7173.601147776184
17,Super built-up  Area,18-May,1st Phase JP Nagar,2 BHK,1077.0,2.0,93.0,2,8635.097493036212
18,Plot  Area,Ready To Move,1st Phase JP Nagar,2 Bedroom,1566.0,2.0,180.0,2,11494.252873563219
19,Built-up  Area,Ready To Move,1st Phase JP Nagar,1 BHK,840.0,2.0,50.0,1,5952.380952380952
20,Super built-up  Area,18-May,1st Phase JP Nagar,3 BHK,1590.0,3.0,131.0,3,8238.993710691824
21,Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,2180.0,3.0,210.0,3,9633.02752293578
22,Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,1180.0,2.0,88.5,2,7500.0
23,Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,1200.0,2.0,86.0,2,7166.666666666667
24,Built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,1394.0,2.0,85.0,2,6097.5609756097565
25,Super built-up  Area,18-May,1st Phase JP Nagar,3 BHK,2077.0,3.0,175.0,3,8425.613866153106
27,Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,1205.0,2.0,85.0,2,7053.941908713693
29,Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,900.0,2.0,75.0,2,8333.333333333334
30,Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,1450.0,2.0,50.75,3,3500.0
31,Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,2 BHK,1150.0,2.0,40.25,2,3500.0
32,Super built-up  Area,22-Dec,2nd Phase Judicial Layout,1 BHK,525.0,1.0,26.0,1,4952.380952380952
33,Super built-up  Area,22-Dec,2nd Phase Judicial Layout,3 BHK,1300.0,3.0,64.0,3,4923.076923076923
34,Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,1350.0,2.0,47.25,3,3500.0
35,Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,1350.0,2.0,47.25,3,3500.0
36,Super built-up  Area,22-Dec,2nd Phase Judicial Layout,2 BHK,700.0,2.0,35.0,2,5000.0
37,Super built-up  Area,22-Jun,2nd Phase Judicial Layout,2 BHK,900.0,2.0,41.0,2,4555.555555555556
38,Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,1681.0,3.0,69.0,3,4104.699583581201
39,Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,1350.0,2.0,47.25,3,3500.0
40,Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,2 BHK,1150.0,2.0,40.25,2,3500.0
41,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,1500.0,4.0,220.0,4,14666.666666666666
44,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,1200.0,4.0,245.0,4,20416.666666666668
45,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,1350.0,4.0,200.0,4,14814.814814814816
46,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,1200.0,4.0,225.0,4,18750.0
47,Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,1500.0,3.0,230.0,4,15333.333333333334
48,Super built-up  Area,Ready To Move,5th Block Hbr Layout,2 BHK,1206.0,2.0,56.0,2,4643.449419568822
49,Super built-up  Area,Ready To Move,5th Block Hbr Layout,3 BHK,1270.0,2.0,70.0,3,5511.811023622047
50,Super built-up  Area,Ready To Move,5th Block Hbr Layout,2 BHK,1312.0,2.0,69.0,2,5259.1463414634145
51,Super built-up  Area,Ready To Move,5th Block Hbr Layout,2 BHK,1100.0,2.0,48.0,2,4363.636363636364
52,Built-up  Area,Ready To Move,5th Block Hbr Layout,5 Bedroom,3600.0,5.0,130.0,5,3611.1111111111113
53,Built-up  Area,Ready To Move,5th Block Hbr Layout,6 BHK,5100.0,5.0,300.0,6,5882.35294117647
54,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1075.0,2.0,60.0,2,5581.395348837209
55,Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1150.0,3.0,52.5,2,4565.217391304348
56,Super built-up  Area,18-Aug,5th Phase JP Nagar,2 BHK,1070.0,2.0,39.0,2,3644.8598130841124
57,Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1256.0,2.0,62.8,2,5000.0
58,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1207.0,2.0,63.0,2,5219.552609776305
59,Built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1725.0,2.0,100.0,3,5797.101449275362
60,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1440.0,2.0,60.0,2,4166.666666666667
61,Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1400.0,2.0,88.0,3,6285.714285714285
62,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1450.0,2.0,58.0,2,4000.0
63,Built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,1700.0,2.0,100.0,3,5882.35294117647
65,Super built-up  Area,Ready To Move,5th Phase JP Nagar,5 BHK,2500.0,5.0,110.0,5,4400.0
66,Built-up  Area,Ready To Move,5th Phase JP Nagar,1 BHK,600.0,1.0,30.0,1,5000.0
67,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1390.0,2.0,65.0,2,4676.258992805755
68,Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1256.0,2.0,62.8,2,5000.0
69,Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1000.0,2.0,48.0,2,4800.0
